Id,PopSize,VAT,Levy,Tariff,WealthTax,Allowance,Unemployment,Black,Gdp,StateMoney,PopTotalMoney,NbTransactions,ConnectedStates
96,50,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1226366.5,19.87233,45639.07,31952,
97,46,0.2,0.1,0.3,0.2,Fair,0.05,0.15,707512.56,9.509289,18452.941,30484,
98,46,0.2,0.1,0.3,0.2,Flat,0.05,0.15,920785.06,220.61084,69224.83,21708,
99,36,0.2,0.1,0.3,0.2,Flat,0.05,0.15,902922.94,262.05554,86147.29,24056,
100,52,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1370051.2,405.8175,131378.77,41005,
101,39,0.2,0.1,0.3,0.2,Flat,0.05,0.15,760077.75,198.59811,61408.195,25521,
102,54,0.2,0.1,0.3,0.2,Fair,0.05,0.15,879590.4,56.093254,19563.44,27275,
103,63,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1270596.0,226.45316,45485.96,45036,
104,68,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1071878.4,2.3225143,42918.914,43688,
105,56,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1049561.9,2.6209116,52918.062,35086,
106,64,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1356738.5,214.88425,56239.844,50060,
107,45,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1039148.5,39.1465,37200.57,37598,
108,56,0.2,0.1,0.3,0.2,Fair,0.05,0.15,964074.7,2.2854578,55325.766,25996,
109,51,0.2,0.1,0.3,0.2,Flat,0.05,0.15,955726.44,223.32727,59282.754,32930,
110,36,0.2,0.1,0.3,0.2,Fair,0.05,0.15,698462.1,1.6327288,39451.61,21539,
111,58,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1064760.2,2.5073006,54132.438,37971,
112,41,0.2,0.1,0.3,0.2,Flat,0.05,0.15,666666.7,109.25238,30068.777,29521,
113,51,0.2,0.1,0.3,0.2,Flat,0.05,0.15,986998.5,186.8064,41032.656,33892,
114,56,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1234944.8,204.75073,50049.617,41151,
115,49,0.2,0.1,0.3,0.2,Flat,0.05,0.15,730133.44,122.35472,22212.809,33048,
116,56,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1351713.6,3.1952229,73244.65,37090,
117,44,0.2,0.1,0.3,0.2,Fair,0.05,0.15,848847.06,2.0234766,35955.605,26371,
118,48,0.2,0.1,0.3,0.2,Fair,0.05,0.15,649699.2,1.4908013,34457.29,23764,
119,39,0.2,0.1,0.3,0.2,Flat,0.05,0.15,806385.3,144.73175,36838.664,27172,
120,47,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1108654.6,2.0125732,40389.586,33029,
121,56,0.2,0.1,0.3,0.2,Flat,0.05,0.15,949379.4,163.20392,38100.434,39844,
122,26,0.2,0.1,0.3,0.2,Flat,0.05,0.15,403444.9,71.27539,15659.112,13707,
123,46,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1035068.4,218.1213,58729.203,29713,
124,51,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1048666.4,1.9737699,46089.562,28488,
125,56,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1070793.5,190.80734,47751.38,36549,
126,58,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1405416.6,293.79773,80359.27,38044,
127,53,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1098131.6,243.26807,57529.824,40324,
